,desc,docurl,filedate,path,ticker,filename
2751,0000950124-04-000855,/Archives/edgar/data/811156/000095012404000855/0000950124-04-000855-index.htm,3/12/2004,https://www.sec.gov/Archives/edgar/data/811156/000095012404000855/0000950124-04-000855.txt,CMS,CMS_2004-03-12_0000950124-04-000855.txt
2752,0000950134-03-009744,/Archives/edgar/data/811156/000095013403009744/0000950134-03-009744-index.htm,7/1/2003,https://www.sec.gov/Archives/edgar/data/811156/000095013403009744/0000950134-03-009744.txt,CMS,CMS_2003-07-01_0000950134-03-009744.txt
2753,0000950124-03-002236,/Archives/edgar/data/811156/000095012403002236/0000950124-03-002236-index.htm,6/30/2003,https://www.sec.gov/Archives/edgar/data/811156/000095012403002236/0000950124-03-002236.txt,CMS,CMS_2003-06-30_0000950124-03-002236.txt
2754,0000950124-03-001055,/Archives/edgar/data/811156/000095012403001055/0000950124-03-001055-index.htm,3/31/2003,https://www.sec.gov/Archives/edgar/data/811156/000095012403001055/0000950124-03-001055.txt,CMS,CMS_2003-03-31_0000950124-03-001055.txt
2755,0000950124-02-001143,/Archives/edgar/data/811156/000095012402001143/0000950124-02-001143-index.htm,3/29/2002,https://www.sec.gov/Archives/edgar/data/811156/000095012402001143/0000950124-02-001143.txt,CMS,CMS_2002-03-29_0000950124-02-001143.txt
2756,0000950124-01-001548,/Archives/edgar/data/811156/000095012401001548/0000950124-01-001548-index.htm,3/23/2001,https://www.sec.gov/Archives/edgar/data/811156/000095012401001548/0000950124-01-001548.txt,CMS,CMS_2001-03-23_0000950124-01-001548.txt
2757,0000950124-00-001799,/Archives/edgar/data/811156/0000950124-00-001799-index.html,3/30/2000,https://www.sec.gov/Archives/edgar/data/811156/000095012400001799/0000950124-00-001799.txt,CMS,CMS_2000-03-30_0000950124-00-001799.txt
2758,0000950124-99-002252,/Archives/edgar/data/811156/0000950124-99-002252-index.html,3/31/1999,https://www.sec.gov/Archives/edgar/data/811156/000095012499002252/0000950124-99-002252.txt,CMS,CMS_1999-03-31_0000950124-99-002252.txt
2759,0000201533-98-000042,/Archives/edgar/data/811156/0000201533-98-000042-index.html,3/26/1998,https://www.sec.gov/Archives/edgar/data/811156/000020153398000042/0000201533-98-000042.txt,CMS,CMS_1998-03-26_0000201533-98-000042.txt
2760,0000201533-97-000016,/Archives/edgar/data/811156/0000201533-97-000016-index.html,3/14/1997,https://www.sec.gov/Archives/edgar/data/811156/000020153397000016/0000201533-97-000016.txt,CMS,CMS_1997-03-14_0000201533-97-000016.txt
